id; last_times_detected; lifetime; left_lifetime; detection_confidence; blinking_freq; movement_vector; last_positions;
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 221; 10; 76; 15.0; (-4.769230769230769, 3.230769230769231); [(620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]; 222; 10; 77; 16.5; (-4.5, 3.1); [(615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]; 223; 10; 78; 16.5; (-4.7272727272727275, 3.272727272727273); [(610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]; 224; 9; 79; 16.5; (-4.7272727272727275, 3.272727272727273); [(610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]; 225; 8; 80; 15.0; (-4.7272727272727275, 3.272727272727273); [(610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]; 226; 7; 81; 15.0; (-4.7272727272727275, 3.272727272727273); [(610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]; 227; 10; 82; 15.0; (-4.7272727272727275, 3.272727272727273); [(607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0), (516.0, 795.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]; 228; 9; 83; 15.0; (-4.7272727272727275, 3.272727272727273); [(607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0), (516.0, 795.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]; 229; 10; 84; 15.0; (-4.7, 3.4); [(602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0), (516.0, 795.0), (509.0, 798.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]; 230; 9; 85; 15.0; (-4.7, 3.4); [(602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750), (578, 753), (573, 756), (568.0, 760.0), (563, 763), (559.0, 766.0), (554.0, 770.0), (548.0, 772.0), (543, 775), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (543.0, 786.0), (530.0, 792.0), (516.0, 795.0), (509.0, 798.0)];
